Id,start,end,para,name,timestamp,actor,type,text
26135128,159,160,OPT_ID_1162,optYTI5iHEAKyaLmMwxZSXmQaVAJSiIDBjC,1582184108859,au,clear-superscript,a
26135130,159,160,OPT_ID_1162,opt6pujZWzpcQjdJot3dYIcU926WBB3YRpx,1582184108879,au,clear-superscript,a
26135133,159,160,OPT_ID_1162,optP1Snrd1FqmpaggeZUZmV0ecHu4dpEpzG,1582184108899,au,clear-superscript,a
26135135,159,160,OPT_ID_1162,optRbnlu0mkBa0S0Ca44vx9sMYCbATJPGZM,1582184108919,au,clear-superscript,a
26135137,159,160,OPT_ID_1162,optXSezpntJfttLs9iWJPGDvbowBwOVkMyt,1582184108939,au,clear-superscript,a
26135139,159,160,OPT_ID_1162,opt5Ilv6vnMQehQclfClEQp6gibLePwGyTp,1582184108959,au,clear-superscript,a
26135141,159,160,OPT_ID_1162,opt9bP1fs4v7aKuFW8bdL06kIjHHrHtLvnC,1582184108979,au,clear-superscript,a
26135143,159,160,OPT_ID_1162,optOrDa7A8bHJtEq3UKY303ONrdO2GNsjwO,1582184109009,au,clear-superscript,a
26135145,159,160,OPT_ID_1162,optNTfQxE9Uka2jTD5FOIeeAVpbb0YQQZeE,1582184109029,au,clear-superscript,a
26135148,159,160,OPT_ID_1162,optEgD9m89cPo8BFuIbRUJ0mO3BOU6QQWjB,1582184109079,au,clear-superscript,a
